16:24:12 10/15/17 Start server Success
16:24:15 10/15/17 127.0.0.1 5 connected Success
16:24:15 10/15/17 127.0.0.1 6 connected Success
16:24:15 10/15/17 127.0.0.1 7 connected Success
16:24:15 10/15/17 127.0.0.1 8 connected Success
16:24:15 10/15/17 127.0.0.1 9 connected Success
16:24:15 10/15/17 127.0.0.1 5 / Success
16:24:15 10/15/17 127.0.0.1 5 disconnected Success
16:24:15 10/15/17 127.0.0.1 6 /style.css Success
16:24:15 10/15/17 127.0.0.1 6 disconnected Success
16:24:15 10/15/17 127.0.0.1 7 /images/liso_header.png Success
16:24:15 10/15/17 127.0.0.1 7 disconnected Success
16:24:15 10/15/17 127.0.0.1 8 /favicon.ico Success
16:24:15 10/15/17 127.0.0.1 8 disconnected Success
16:24:17 10/15/17 127.0.0.1 5 connected Success
16:24:17 10/15/17 127.0.0.1 6 connected Success
16:24:17 10/15/17 127.0.0.1 7 connected Success
16:24:17 10/15/17 127.0.0.1 8 connected Success
16:24:17 10/15/17 127.0.0.1 9 / Success
16:24:17 10/15/17 127.0.0.1 9 disconnected Success
16:24:17 10/15/17 127.0.0.1 5 /style.css Success
16:24:17 10/15/17 127.0.0.1 5 disconnected Success
16:24:17 10/15/17 127.0.0.1 6 /images/liso_header.png Success
16:24:17 10/15/17 127.0.0.1 6 disconnected Success
16:24:17 10/15/17 127.0.0.1 7 /favicon.ico Success
16:24:17 10/15/17 127.0.0.1 7 disconnected Success
16:24:19 10/15/17 Shutdown server Success
